Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Ejecución No.,Elitismo,Mejor_Fitness,Diversidad_Final
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,4,True,66633.43611347987,0.009473684210526318
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,5,True,66633.43611347987,0.017368421052631585
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,6,True,67172.96048361057,0.013157894736842108
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,7,True,66633.43611347987,0.015263157894736845
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,8,True,69720.2545994106,0.019210526315789477
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,9,True,66633.43611347987,0.007105263157894738
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,10,True,66633.43611347987,0.011842105263157899
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,11,True,66633.43611347987,0.021842105263157902
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,12,True,66836.85134468594,0.010526315789473686
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,13,True,66633.43611347987,0.018684210526315793
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,14,True,66633.43611347987,0.004736842105263159
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,15,True,67172.96048361057,0.018421052631578953
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,16,True,66633.43611347987,0.021842105263157902
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,17,True,66633.43611347987,0.01578947368421053
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,18,True,66633.43611347987,0.012368421052631582
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,19,True,66633.43611347987,0.009210526315789476
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,20,True,70377.30015361255,0.022105263157894742
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,21,True,66633.43611347987,0.018947368421052636
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,22,True,66633.43611347987,0.00973684210526316
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,23,True,66633.43611347987,0.01605263157894737
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,24,True,67172.96048361057,0.005000000000000001
