Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Ejecución No.,Elitismo,Mejor_Fitness,Diversidad_Final
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,29,False,72132.36414172407,0.011052631578947368
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,0,True,67172.96048361057,0.008947368421052634
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,1,True,66633.43611347987,0.008684210526315793
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,2,True,75238.142856554,0.0218421052631579
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,3,True,66633.43611347987,0.013684210526315792
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,4,True,70936.68388745279,0.024210526315789477
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,5,True,69720.2545994106,0.016842105263157898
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,6,True,67552.68156416502,0.007631578947368422
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,7,True,66633.43611347987,0.01578947368421053
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,8,True,67172.96048361057,0.01578947368421053
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,9,True,67552.68156416502,0.00736842105263158
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,10,True,67552.68156416502,0.010263157894736846
