Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Elitismo,Mejor_Fitness,Diversidad_Final
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,118780.16310276753,0.09894736842105263
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,122762.50094457163,0.09473684210526315
cruce_pmx | mutacion_intercambio | mut:0.05 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.05,200,True,122325.29987739379,0.115
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,135357.28477144893,0.08921052631578946
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,123743.8358765433,0.10157894736842105
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,117355.9909548922,0.1257894736842105
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,123786.29953192343,0.07789473684210525
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,127715.67487948498,0.1268421052631579
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,127876.60070191693,0.1081578947368421
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,131252.82043451266,0.10105263157894737
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,124258.99102857122,0.06578947368421054
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,131795.62800708346,0.12789473684210526
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,118287.36353151275,0.11210526315789475
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,118690.53102829715,0.10026315789473683
