Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Elitismo,Mejor_Fitness,Ejecución No.,Diversidad_Final
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,117684.54500353728,25,0.08157894736842106
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,123326.2087331978,26,0.08394736842105263
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,133336.59184160514,27,0.08736842105263158
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,124767.96361124463,28,0.10763157894736843
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_intercambio,0.05,100,True,118118.44841524778,29,0.10657894736842105
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,197641.36498454347,0,0.034210526315789476
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,196209.6774355001,1,0.007368421052631579
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,210102.4302420778,2,0.011578947368421053
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,202686.48785886195,3,0.026842105263157893
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,211649.35214950217,4,0.023157894736842106
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,209443.32983479075,5,0.017368421052631578
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,203829.1502674081,6,0.02052631578947368
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,194745.5287498105,7,0.024736842105263158
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,200179.45893820486,8,0.016315789473684207
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,191872.13766921803,9,0.028947368421052628
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,204969.03735045515,10,0.019473684210526317
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,197919.98010681642,11,0.02894736842105263
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,200366.0731829435,12,0.017368421052631578
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,196232.53514022703,13,0.019473684210526313
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,190894.05778632167,14,0.027368421052631577
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,222185.80315636448,15,0.002105263157894737
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,198054.59680452847,16,0.03263157894736842
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,199608.77846670375,17,0.021052631578947368
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,201635.9617905958,18,0.011578947368421053
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,191629.54090182166,19,0.04894736842105263
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,190578.62912827046,20,0.02263157894736842
