Configuracion,Cruza,Mutacion,Penalizacion,Elitismo,Ejecucion_No,Mejor_Fitness,Diversidad_Final,Peso_Final,Valor_Final
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,92,291.0,0.0036233333333333304,49,291
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,93,315.0,0.004593333333333328,50,315
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,94,340.0,0.0026399999999999987,50,340
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,95,324.0,0.0026266666666666643,50,324
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,96,339.0,0.001979999999999999,50,339
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,97,310.0,0.0032933333333333304,50,310
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,98,306.0,0.002963333333333331,50,306
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,99,328.0,0.006223333333333327,50,328
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:True,cruce_un_punto,mutacion_un_gen,fitness_cero,True,100,325.0,0.004276666666666662,50,325
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,1,325.0,0.0032933333333333304,50,325
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,2,301.0,0.002963333333333331,50,301
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,3,318.0,0.0039399999999999965,50,318
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,4,310.0,0.0016499999999999993,50,310
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,5,302.0,0.003926666666666665,50,302
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,6,308.0,0.0032866666666666643,50,308
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,7,297.0,0.0029633333333333313,50,297
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,8,316.0,0.0023099999999999987,50,316
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,9,331.0,0.0029566666666666634,50,331
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,10,285.0,0.002633333333333331,50,285
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,11,325.0,0.003259999999999998,50,325
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,12,318.0,0.0013199999999999991,50,318
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,13,318.0,0.002949999999999995,50,318
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,14,310.0,0.002963333333333331,50,310
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,15,295.0,0.0026333333333333317,50,295
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,16,298.0,0.0032866666666666626,49,298
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,17,278.0,0.0019799999999999987,50,278
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,18,294.0,0.0023033333333333313,49,294
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,19,331.0,0.0032933333333333313,50,331
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,20,318.0,0.004606666666666662,49,318
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,21,302.0,0.00393333333333333,50,302
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,22,310.0,0.003939999999999997,50,310
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,23,289.0,0.0016499999999999991,50,289
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,24,317.0,0.0016499999999999991,50,317
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,25,295.0,0.002633333333333331,50,295
