Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Elitismo,Mejor_Fitness,Ejecución No.,Diversidad_Final
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,131182.07548477687,15,0.09684210526315791
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,124470.91814356056,16,0.061052631578947365
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,136416.48159036634,17,0.1463157894736842
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,126043.92047527594,18,0.095
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,127732.33840772042,19,0.09
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,126245.6484040201,20,0.10578947368421053
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,129824.51273004682,21,0.09184210526315789
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,126435.09440794337,22,0.10973684210526315
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,113974.40020872054,23,0.13842105263157894
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,125647.45392034913,24,0.11842105263157894
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,123716.20733869307,25,0.0731578947368421
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,125430.75529644359,26,0.10289473684210527
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,121980.53606848815,27,0.11526315789473685
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,127424.57823740231,28,0.05605263157894736
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_inversion,0.05,100,True,126549.23354197027,29,0.11
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,124840.35635148054,0,0.10236842105263158
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,121076.08517993739,1,0.08026315789473686
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,123020.50669367603,2,0.10578947368421052
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,118813.04894422594,3,0.10815789473684209
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,125110.17793757908,4,0.1481578947368421
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,124869.59715152366,5,0.11105263157894738
